Type;Node;Parameter;Value;Person;Image_Path;Image_Type
bypass;PhotoMakerEncode;N/A;N/A;lady_gaga;C:\Users\tonir\TFG\outputs_refacer\bypass\PhotoMakerEncode\lady_gaga_retrato_00001_.png;generated
bypass;PhotoMakerEncode;N/A;N/A;mae_jeminson;C:\Users\tonir\TFG\outputs_refacer\bypass\PhotoMakerEncode\mae_jeminson_retrato_00001_.png;generated
bypass;PhotoMakerEncode;N/A;N/A;reina_elizabeth;C:\Users\tonir\TFG\outputs_refacer\bypass\PhotoMakerEncode\reina_elizabeth_retrato_00001_.png;generated
parameters;AutoCropFaces;scale_factor;0_5;dolly_parton;C:\Users\tonir\TFG\outputs_refacer\parameters\AutoCropFaces\scale_factor\0_5\dolly_parton_retrato_00001_.png;generated
parameters;AutoCropFaces;scale_factor;0_5;lady_gaga;C:\Users\tonir\TFG\outputs_refacer\parameters\AutoCropFaces\scale_factor\0_5\lady_gaga_retrato_00001_.png;generated
parameters;AutoCropFaces;scale_factor;0_5;maya_angelou;C:\Users\tonir\TFG\outputs_refacer\parameters\AutoCropFaces\scale_factor\0_5\maya_angelou_retrato_00001_.png;generated
parameters;AutoCropFaces;scale_factor;0_5;reina_elizabeth;C:\Users\tonir\TFG\outputs_refacer\parameters\AutoCropFaces\scale_factor\0_5\reina_elizabeth_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_3;cristiano;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_3\cristiano_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;agatha_christie;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\agatha_christie_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;cristiano;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\cristiano_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;dolly_parton;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\dolly_parton_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;freddie_mercury;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\freddie_mercury_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;grace_kelly;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\grace_kelly_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;lady_gaga;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\lady_gaga_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;lebron_james;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\lebron_james_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;marilyn_monroe;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\marilyn_monroe_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;messi;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\messi_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;michelle_obama;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\michelle_obama_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;reina_elizabeth;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\reina_elizabeth_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_4;sylvester_stallone;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_4\sylvester_stallone_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_5;agatha_christie;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_5\agatha_christie_retrato_00001_.png;generated
parameters;IPAdapterAdvanced;weight;-0_5;alan_turing;C:\Users\tonir\TFG\outputs_refacer\parameters\IPAdapterAdvanced\weight\-0_5\alan_turing_retrato_00001_.png;generated
