Type;Node;Parameter;Value;Person;Generated_Image_Path;Real_Image_Path;Cosine_Similarity;L2_Distance;Same_Identity
N/A;N/A;N/A;N/A;agatha_christie;C:\Users\tonir\TFG\config_optima\agatha_christie_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\agatha_christie_foto.jpg;0.311;1.1739;False
N/A;N/A;N/A;N/A;alan_turing;C:\Users\tonir\TFG\config_optima\alan_turing_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\alan_turing_foto.webp;0.3349;1.1533;False
N/A;N/A;N/A;N/A;alexia_putellas;C:\Users\tonir\TFG\config_optima\alexia_putellas_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\alexia_putellas_foto.webp;0.3008;1.1825;False
N/A;N/A;N/A;N/A;cristiano;C:\Users\tonir\TFG\config_optima\cristiano_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\cristiano_foto.webp;0.1865;1.2756;False
N/A;N/A;N/A;N/A;dolly_parton;C:\Users\tonir\TFG\config_optima\dolly_parton_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\dolly_parton_foto.jpg;0.3073;1.177;False
N/A;N/A;N/A;N/A;freddie_mercury;C:\Users\tonir\TFG\config_optima\freddie_mercury_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\freddie_mercury_foto.jpg;0.0674;1.3657;False
N/A;N/A;N/A;N/A;grace_kelly;C:\Users\tonir\TFG\config_optima\grace_kelly_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\grace_kelly_foto.webp;0.288;1.1934;False
N/A;N/A;N/A;N/A;jackie_chan;C:\Users\tonir\TFG\config_optima\jackie_chan_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\jackie_chan_foto.jpg;0.2713;1.2073;False
N/A;N/A;N/A;N/A;jane_goodall;C:\Users\tonir\TFG\config_optima\jane_goodall_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\jane_goodall_foto.jpg;0.1916;1.2715;False
N/A;N/A;N/A;N/A;jrr_tolkien;C:\Users\tonir\TFG\config_optima\jrr_tolkien_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\jrr_tolkien_foto.webp;0.1122;1.3325;False
N/A;N/A;N/A;N/A;lady_gaga;C:\Users\tonir\TFG\config_optima\lady_gaga_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\lady_gaga_foto.webp;0.1162;1.3295;False
N/A;N/A;N/A;N/A;mae_jeminson;C:\Users\tonir\TFG\config_optima\mae_jeminson_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\mae_jeminson_foto.jpg;0.0045;1.411;False
N/A;N/A;N/A;N/A;marie_curie;C:\Users\tonir\TFG\config_optima\marie_curie_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\marie_curie_foto.jpg;0.0679;1.3654;False
N/A;N/A;N/A;N/A;marilyn_monroe;C:\Users\tonir\TFG\config_optima\marilyn_monroe_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\marilyn_monroe_foto.webp;0.4109;1.0854;True
N/A;N/A;N/A;N/A;maya_angelou;C:\Users\tonir\TFG\config_optima\maya_angelou_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\maya_angelou_foto.jpg;0.2356;1.2365;False
N/A;N/A;N/A;N/A;messi;C:\Users\tonir\TFG\config_optima\messi_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\messi_foto.webp;0.3584;1.1328;False
N/A;N/A;N/A;N/A;michelle_obama;C:\Users\tonir\TFG\config_optima\michelle_obama_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\michelle_obama_foto.jpg;0.2198;1.2491;False
N/A;N/A;N/A;N/A;morgan_freeman;C:\Users\tonir\TFG\config_optima\morgan_freeman_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\morgan_freeman_foto.webp;0.3927;1.1021;True
N/A;N/A;N/A;N/A;mrbean;C:\Users\tonir\TFG\config_optima\mrbean_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\mrbean_foto.jpg;0.37;1.1225;True
N/A;N/A;N/A;N/A;nikola_tesla;C:\Users\tonir\TFG\config_optima\nikola_tesla_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\nikola_tesla_foto.jpeg;0.3733;1.1195;True
N/A;N/A;N/A;N/A;rey_felipe;C:\Users\tonir\TFG\config_optima\rey_felipe_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\rey_felipe_foto.jpg;0.2977;1.1851;False
N/A;N/A;N/A;N/A;sylvester_stallone;C:\Users\tonir\TFG\config_optima\sylvester_stallone_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\sylvester_stallone_foto.jpg;0.2944;1.1879;False
N/A;N/A;N/A;N/A;yayoi_kusama;C:\Users\tonir\TFG\config_optima\yayoi_kusama_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real\yayoi_kusama_foto.webp;0.3834;1.1105;True
