Type;Node;Parameter;Value;Person;Generated_Image_Path;Real_Image_Path;Cosine_Similarity;L2_Distance;Same_Identity
bypass;AutoCropFaces;N/A;N/A;agatha_christie;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\agatha_christie_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\agatha_christie_foto.jpg;0.3025;1.1811;False
bypass;AutoCropFaces;N/A;N/A;alan_turing;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\alan_turing_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\alan_turing_foto.webp;0.406;1.0899;True
bypass;AutoCropFaces;N/A;N/A;albert_einstein;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\albert_einstein_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\albert_einstein_foto.jpg;0.3878;1.1065;True
bypass;AutoCropFaces;N/A;N/A;alexia_putellas;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\alexia_putellas_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\alexia_putellas_foto.webp;0.241;1.232;False
bypass;AutoCropFaces;N/A;N/A;charles_dickens;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\charles_dickens_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\charles_dickens_foto.jpg;0.2471;1.2271;False
bypass;AutoCropFaces;N/A;N/A;cristiano;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\cristiano_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\cristiano_foto.webp;0.4632;1.0362;True
bypass;AutoCropFaces;N/A;N/A;dolly_parton;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\dolly_parton_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\dolly_parton_foto.jpg;0.2933;1.1888;False
bypass;AutoCropFaces;N/A;N/A;freddie_mercury;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\freddie_mercury_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\freddie_mercury_foto.jpg;0.3175;1.1683;False
bypass;AutoCropFaces;N/A;N/A;grace_kelly;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\grace_kelly_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\grace_kelly_foto.webp;0.3277;1.1596;False
bypass;AutoCropFaces;N/A;N/A;jackie_chan;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\jackie_chan_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\jackie_chan_foto.jpg;0.2494;1.2253;False
bypass;AutoCropFaces;N/A;N/A;jane_goodall;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\jane_goodall_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\jane_goodall_foto.jpg;0.3917;1.103;True
bypass;AutoCropFaces;N/A;N/A;jrr_tolkien;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\jrr_tolkien_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\jrr_tolkien_foto.webp;0.2992;1.1839;False
bypass;AutoCropFaces;N/A;N/A;katherine_johnson;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\katherine_johnson_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\katherine_johnson_foto.webp;0.209;1.2578;False
bypass;AutoCropFaces;N/A;N/A;lady_gaga;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\lady_gaga_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\lady_gaga_foto.webp;0.3301;1.1575;False
bypass;AutoCropFaces;N/A;N/A;lebron_james;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\lebron_james_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\lebron_james_foto.jpg;0.0974;1.3436;False
bypass;AutoCropFaces;N/A;N/A;mae_jeminson;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\mae_jeminson_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\mae_jeminson_foto.jpg;-0.0051;1.4178;False
bypass;AutoCropFaces;N/A;N/A;maria_montessori;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\maria_montessori_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\maria_montessori_foto.jpg;0.1918;1.2714;False
bypass;AutoCropFaces;N/A;N/A;marie_curie;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\marie_curie_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\marie_curie_foto.jpg;0.3204;1.1659;False
bypass;AutoCropFaces;N/A;N/A;marilyn_monroe;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\marilyn_monroe_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\marilyn_monroe_foto.webp;0.4233;1.074;True
bypass;AutoCropFaces;N/A;N/A;maya_angelou;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\maya_angelou_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\maya_angelou_foto.jpg;0.3578;1.1333;False
bypass;AutoCropFaces;N/A;N/A;messi;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\messi_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\messi_foto.webp;0.349;1.1411;False
bypass;AutoCropFaces;N/A;N/A;michelle_obama;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\michelle_obama_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\michelle_obama_foto.jpg;0.2373;1.2351;False
bypass;AutoCropFaces;N/A;N/A;morgan_freeman;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\morgan_freeman_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\morgan_freeman_foto.webp;0.3587;1.1326;False
bypass;AutoCropFaces;N/A;N/A;mrbean;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\mrbean_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\mrbean_foto.jpg;0.4247;1.0727;True
bypass;AutoCropFaces;N/A;N/A;nikola_tesla;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\nikola_tesla_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\nikola_tesla_foto.jpeg;0.3738;1.1191;True
bypass;AutoCropFaces;N/A;N/A;rafa_nadal;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\rafa_nadal_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\rafa_nadal_foto.webp;0.3015;1.1819;False
bypass;AutoCropFaces;N/A;N/A;reina_elizabeth;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\reina_elizabeth_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\reina_elizabeth_foto.jpg;0.2505;1.2243;False
bypass;AutoCropFaces;N/A;N/A;rey_felipe;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\rey_felipe_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\rey_felipe_foto.jpg;0.1968;1.2675;False
bypass;AutoCropFaces;N/A;N/A;sylvester_stallone;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\sylvester_stallone_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\sylvester_stallone_foto.jpg;0.1713;1.2874;False
bypass;AutoCropFaces;N/A;N/A;yayoi_kusama;C:\Users\tonir\TFG\outputs_refacer\bypass\AutoCropFaces\yayoi_kusama_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\yayoi_kusama_foto.webp;0.4587;1.0404;True
bypass;CLIPTextEncode;N/A;N/A;agatha_christie;C:\Users\tonir\TFG\outputs_refacer\bypass\CLIPTextEncode\agatha_christie_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\agatha_christie_foto.jpg;0.3106;1.1742;False
bypass;CLIPTextEncode;N/A;N/A;alan_turing;C:\Users\tonir\TFG\outputs_refacer\bypass\CLIPTextEncode\alan_turing_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\alan_turing_foto.webp;0.3826;1.1112;True
bypass;CLIPTextEncode;N/A;N/A;albert_einstein;C:\Users\tonir\TFG\outputs_refacer\bypass\CLIPTextEncode\albert_einstein_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\albert_einstein_foto.jpg;0.1596;1.2964;False
bypass;CLIPTextEncode;N/A;N/A;alexia_putellas;C:\Users\tonir\TFG\outputs_refacer\bypass\CLIPTextEncode\alexia_putellas_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\alexia_putellas_foto.webp;0.2607;1.2159;False
bypass;CLIPTextEncode;N/A;N/A;charles_dickens;C:\Users\tonir\TFG\outputs_refacer\bypass\CLIPTextEncode\charles_dickens_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\charles_dickens_foto.jpg;0.2955;1.187;False
bypass;CLIPTextEncode;N/A;N/A;cristiano;C:\Users\tonir\TFG\outputs_refacer\bypass\CLIPTextEncode\cristiano_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\cristiano_foto.webp;0.2292;1.2416;False
bypass;CLIPTextEncode;N/A;N/A;dolly_parton;C:\Users\tonir\TFG\outputs_refacer\bypass\CLIPTextEncode\dolly_parton_retrato_00001_.png;C:\Users\tonir\TFG\inputs_refacer_real_mod\dolly_parton_foto.jpg;0.2548;1.2208;False
